2020-07-10 13:19:35,447 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:127 - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2020-07-10 13:19:35,589 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:187 - Finished Spring Data repository scanning in 107ms. Found 0 MongoDB repository interfaces.
2020-07-10 13:19:39,044 [main] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Cluster created with settings {hosts=[localhost:27017], mode=MULTIPLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2020-07-10 13:19:39,045 [main] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Adding discovered server localhost:27017 to client view of cluster
2020-07-10 13:19:39,335 [cluster-ClusterId{value='5f07fa6b1db75620e9869863', description='null'}-localhost:27017] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Opened connection [connectionId{localValue:1, serverValue:20}] to localhost:27017
2020-07-10 13:19:39,352 [cluster-ClusterId{value='5f07fa6b1db75620e9869863', description='null'}-localhost:27017] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[4, 2, 5]}, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=10968004}
2020-07-10 13:19:39,367 [cluster-ClusterId{value='5f07fa6b1db75620e9869863', description='null'}-localhost:27017] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Discovered cluster type of STANDALONE
2020-07-10 13:19:42,798 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-10 13:19:44,560 [main] INFO  [c.mimosa.pokemon.portal.service.BattleServiceTest] StartupInfoLogger.java:61 - Started BattleServiceTest in 15.556 seconds (JVM running for 26.423)
2020-07-10 13:19:47,163 [main] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Opened connection [connectionId{localValue:2, serverValue:21}] to localhost:27017
2020-07-10 13:19:48,766 [SpringContextShutdownHook] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:218 - Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-10 13:19:48,793 [SpringContextShutdownHook] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Closed connection [connectionId{localValue:2, serverValue:21}] to localhost:27017 because the pool has been closed.
2020-07-10 13:22:22,311 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mimosa.pokemon.portal.service.BattleServiceTest], using SpringBootContextLoader
2020-07-10 13:22:22,345 [main] INFO  [o.s.test.context.support.AbstractContextLoader] AbstractContextLoader.java:264 - Could not detect default resource locations for test class [com.mimosa.pokemon.portal.service.BattleServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-07-10 13:22:22,348 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils] AnnotationConfigContextLoaderUtils.java:83 - Could not detect default configuration classes for test class [com.mimosa.pokemon.portal.service.BattleServiceTest]: BattleServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-07-10 13:22:22,891 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] SpringBootTestContextBootstrapper.java:237 - Found @SpringBootConfiguration com.mimosa.pokemon.portal.PokemonPortalApplication for test class com.mimosa.pokemon.portal.service.BattleServiceTest
